ID;Ürün Adı;Kategori;Alt Kategori;Hizmet Türü;Fiyat (TL);Popüler
kaban-kapsonlu-batch8;KABAN KAPŞONLU;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
kaban-kaz-tuyu-batch8;KABAN KAZ TÜYÜ;erkek-giyim;erkek-ust-giyim;kuru-temizleme;900;EVET
kaban-kaz-tuyu-batch8;KABAN KAZ TÜYÜ;erkek-giyim;erkek-ust-giyim;utuleme;500;HAYIR
kaban-kaz-tuyu-batch8;KABAN KAZ TÜYÜ;erkek-giyim;erkek-ust-giyim;yikama;544;EVET
kaban-suet-batch8;KABAN SÜET;ozel-temizleme;canta-ayakkabi;kuru-temizleme;2500;EVET
kaban-suet-batch8;KABAN SÜET;ozel-temizleme;canta-ayakkabi;yikama;2500;EVET
kaban-yaka-kol-kurklu-batch8;KABAN YAKA-KOL KÜRKLÜ;ozel-temizleme;canta-ayakkabi;kuru-temizleme;900;EVET
kaban-yaka-kol-kurklu-batch8;KABAN YAKA-KOL KÜRKLÜ;ozel-temizleme;canta-ayakkabi;yikama;900;EVET
kaban-yakasi-kurklu-batch8;KABAN YAKASI KÜRKLU;ozel-temizleme;canta-ayakkabi;kuru-temizleme;750;EVET
kaban-yakasi-kurklu-batch8;KABAN YAKASI KÜRKLU;ozel-temizleme;canta-ayakkabi;yikama;750;EVET
mont-kayak-batch8;MONT KAYAK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
mont-kayak-batch8;MONT KAYAK;erkek-giyim;erkek-ust-giyim;yikama;1000;EVET
kayak-tak-2-par-batch8;KAYAK TAK.2 PAR.;erkek-giyim;erkek-alt-giyim;kuru-temizleme;1500;EVET
kayak-tak-2-par-batch8;KAYAK TAK.2 PAR.;erkek-giyim;erkek-alt-giyim;yikama;1500;EVET
kayak-pantolonu-batch8;KAYAK PANTOLONU;erkek-giyim;erkek-alt-giyim;kuru-temizleme;500;EVET
kayak-pantolonu-batch8;KAYAK PANTOLONU;erkek-giyim;erkek-alt-giyim;yikama;500;EVET
kayak-montuu-batch8;KAYAK MONTUU;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
kayak-montuu-batch8;KAYAK MONTUU;erkek-giyim;erkek-ust-giyim;yikama;1000;EVET
mont-kosum-batch8;MONT KOŞUM;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
mont-kosum-batch8;MONT KOŞUM;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
mont-spor-batch8;MONT SPOR;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
mont-spor-batch8;MONT SPOR;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
mont-terli-k-batch8;MONT TERLİK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
mont-terli-k-batch8;MONT TERLİK;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
mont-kı-li-k-batch8;MONT KIŞLIK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;750;EVET
mont-kı-li-k-batch8;MONT KIŞLIK;erkek-giyim;erkek-ust-giyim;yikama;750;EVET
mont-astar-batch8;MONT ASTAR;erkek-giyim;erkek-ust-giyim;kuru-temizleme;3000;EVET
mont-astar-batch8;MONT ASTAR;erkek-giyim;erkek-ust-giyim;yikama;3000;EVET
kapsonlu-ceket-batch8;KAPŞONLU CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
kapsonlu-ceket-batch8;KAPŞONLU CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
kapsonlu-sweatshirt-batch8;KAPŞONLU SWEATSHİRT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;400;EVET
kapsonlu-sweatshirt-batch8;KAPŞONLU SWEATSHİRT;erkek-giyim;erkek-ust-giyim;yikama;400;EVET
koltukalti-deri-si-batch8;KOLTUKALTI DERİSİ;ozel-temizleme;canta-ayakkabi;kuru-temizleme;1000;EVET
koltukalti-deri-si-batch8;KOLTUKALTI DERİSİ;ozel-temizleme;canta-ayakkabi;yikama;1000;EVET
koltukalti-deri-elbi-se-batch8;KOLTUKALTI DERİ ELBİSE;ozel-temizleme;canta-ayakkabi;kuru-temizleme;2000;EVET
koltukalti-deri-elbi-se-batch8;KOLTUKALTI DERİ ELBİSE;ozel-temizleme;canta-ayakkabi;yikama;2000;EVET
koltukalti-deri-ceket-batch8;KOLTUKALTI DERİ CEKET;ozel-temizleme;canta-ayakkabi;kuru-temizleme;2000;EVET
koltukalti-deri-ceket-batch8;KOLTUKALTI DERİ CEKET;ozel-temizleme;canta-ayakkabi;yikama;2000;EVET
koltukalti-deri-pantolon-batch8;KOLTUKALTI DERİ PANTOLON;erkek-giyim;erkek-alt-giyim;kuru-temizleme;2000;EVET
koltukalti-deri-pantolon-batch8;KOLTUKALTI DERİ PANTOLON;erkek-giyim;erkek-alt-giyim;yikama;2000;EVET
uzun-ceket-batch8;UZUN CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
uzun-ceket-batch8;UZUN CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
uzun-ceket-batch8;UZUN CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
vintage-elbi-se-batch8;VİNTAGE ELBİSE;kadin-giyim;kadin-ust-giyim;kuru-temizleme;1000;EVET
vintage-elbi-se-batch8;VİNTAGE ELBİSE;kadin-giyim;kadin-ust-giyim;utuleme;500;HAYIR
vintage-elbi-se-batch8;VİNTAGE ELBİSE;kadin-giyim;kadin-ust-giyim;yikama;1000;EVET
vintage-ceket-batch8;VİNTAGE CEKET;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
vintage-ceket-batch8;VİNTAGE CEKET;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
vintage-ceket-batch8;VİNTAGE CEKET;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
vintage-kaban-batch8;VİNTAGE KABAN;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
vintage-kaban-batch8;VİNTAGE KABAN;erkek-giyim;erkek-ust-giyim;utuleme;500;HAYIR
vintage-kaban-batch8;VİNTAGE KABAN;erkek-giyim;erkek-ust-giyim;yikama;100;EVET
vintage-mont-batch8;VİNTAGE MONT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;1000;EVET
vintage-mont-batch8;VİNTAGE MONT;erkek-giyim;erkek-ust-giyim;utuleme;500;HAYIR
vintage-mont-batch8;VİNTAGE MONT;erkek-giyim;erkek-ust-giyim;yikama;1000;EVET
vtakim-batch8;VTAKIM;erkek-giyim;erkek-takim-elbise;kuru-temizleme;1500;EVET
vtakim-batch8;VTAKIM;erkek-giyim;erkek-takim-elbise;utuleme;750;HAYIR
vtakim-batch8;VTAKIM;erkek-giyim;erkek-takim-elbise;yikama;1500;EVET
yelek-kadin-batch8;YELEK KADIN;kadin-giyim;kadin-ust-giyim;kuru-temizleme;400;EVET
yelek-kadin-batch8;YELEK KADIN;kadin-giyim;kadin-ust-giyim;utuleme;200;HAYIR
yelek-kadin-batch8;YELEK KADIN;kadin-giyim;kadin-ust-giyim;yikama;400;EVET
yelek-erkek-batch8;YELEK ERKEK;erkek-giyim;erkek-ust-giyim;kuru-temizleme;400;EVET
yelek-erkek-batch8;YELEK ERKEK;erkek-giyim;erkek-ust-giyim;utuleme;200;HAYIR
yelek-erkek-batch8;YELEK ERKEK;erkek-giyim;erkek-ust-giyim;yikama;400;EVET
yaka-kol-kur-k-batch8;YAKA-KOL KÜRK;ozel-temizleme;canta-ayakkabi;kuru-temizleme;750;EVET
yaka-kol-kur-k-batch8;YAKA-KOL KÜRK;ozel-temizleme;canta-ayakkabi;yikama;750;EVET
takim-elbi-se-kadin-batch8;TAKIM ELBİSE KADIN;kadin-giyim;kadin-ust-giyim;kuru-temizleme;750;EVET
takim-elbi-se-kadin-batch8;TAKIM ELBİSE KADIN;kadin-giyim;kadin-ust-giyim;utuleme;450;HAYIR
takim-elbi-se-kadin-batch8;TAKIM ELBİSE KADIN;kadin-giyim;kadin-ust-giyim;yikama;750;EVET
takim-elbi-se-erkek-batch8;TAKIM ELBİSE ERKEK;erkek-giyim;erkek-takim-elbise;kuru-temizleme;750;EVET
takim-elbi-se-erkek-batch8;TAKIM ELBİSE ERKEK;erkek-giyim;erkek-takim-elbise;utuleme;450;HAYIR
takim-elbi-se-erkek-batch8;TAKIM ELBİSE ERKEK;erkek-giyim;erkek-takim-elbise;yikama;750;EVET
smokin-erkek-batch8;SMOKİN ERKEK;erkek-giyim;erkek-takim-elbise;kuru-temizleme;1200;EVET
smokin-erkek-batch8;SMOKİN ERKEK;erkek-giyim;erkek-takim-elbise;utuleme;600;HAYIR
smokin-erkek-batch8;SMOKİN ERKEK;erkek-giyim;erkek-takim-elbise;yikama;1200;EVET
smokin-kadin-batch8;SMOKİN KADIN;kadin-giyim;kadin-ust-giyim;kuru-temizleme;1200;EVET
smokin-kadin-batch8;SMOKİN KADIN;kadin-giyim;kadin-ust-giyim;utuleme;600;HAYIR
smokin-kadin-batch8;SMOKİN KADIN;kadin-giyim;kadin-ust-giyim;yikama;1200;EVET
uyku-tulum-batch8;UYKU TULUM;erkek-giyim;erkek-alt-giyim;kuru-temizleme;1000;EVET
uyku-tulum-batch8;UYKU TULUM;erkek-giyim;erkek-alt-giyim;utuleme;500;HAYIR
uyku-tulum-batch8;UYKU TULUM;erkek-giyim;erkek-alt-giyim;yikama;1000;EVET
terzi-tadi-lat-batch8;TERZİ TADİLAT;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
ust-balik-agzi-batch8;ÜST BALIK AĞZI;erkek-giyim;erkek-ust-giyim;kuru-temizleme;500;EVET
ust-balik-agzi-batch8;ÜST BALIK AĞZI;erkek-giyim;erkek-ust-giyim;utuleme;250;HAYIR
ust-balik-agzi-batch8;ÜST BALIK AĞZI;erkek-giyim;erkek-ust-giyim;yikama;500;EVET
