file_name,url,neighborhood,district,service,title_length,meta_length,status,timestamp
bolgelerkadikoykiziltoprak-koltuk-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-koltuk-yikama.html,Kızıltoprak,Kadıköy,Koltuk Yıkama,46,134,success,2025-08-16T19:48:01.701676
bolgelerkadikoykiziltoprak-perde-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-perde-temizleme.html,Kızıltoprak,Kadıköy,Perde Temizleme,48,136,success,2025-08-16T19:48:01.703021
bolgelerkadikoykiziltoprak-ev-tekstili-temizligi.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-ev-tekstili-temizligi.html,Kızıltoprak,Kadıköy,Ev Tekstili Temizliği,54,142,success,2025-08-16T19:48:01.704560
bolgelerkadikoykiziltoprak-canta-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-canta-temizleme.html,Kızıltoprak,Kadıköy,Çanta Temizleme,48,136,success,2025-08-16T19:48:01.706128
bolgelerkadikoykiziltoprak-kumas-deri-boyama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-kumas-deri-boyama.html,Kızıltoprak,Kadıköy,Kumaş Deri Boyama,50,138,success,2025-08-16T19:48:01.707473
bolgelerkadikoykiziltoprak-lostra-hizmeti.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-lostra-hizmeti.html,Kızıltoprak,Kadıköy,Lostra Hizmeti,47,135,success,2025-08-16T19:48:01.708379
bolgelerkadikoykiziltoprak-utu-hizmetleri.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/kiziltoprak-utu-hizmetleri.html,Kızıltoprak,Kadıköy,Ütü Hizmetleri,47,135,success,2025-08-16T19:48:01.709264
bolgelerkadikoyhasanpasa-kuru-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-kuru-temizleme.html,Hasanpaşa,Kadıköy,Kuru Temizleme,45,133,success,2025-08-16T19:48:01.710225
bolgelerkadikoyhasanpasa-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-gelinlik-temizleme.html,Hasanpaşa,Kadıköy,Gelinlik Temizleme,49,137,success,2025-08-16T19:48:01.711043
bolgelerkadikoyhasanpasa-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-abiye-temizleme.html,Hasanpaşa,Kadıköy,Abiye Temizleme,46,134,success,2025-08-16T19:48:01.711994
bolgelerkadikoyhasanpasa-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-valiz-temizleme.html,Hasanpaşa,Kadıköy,Valiz Temizleme,46,134,success,2025-08-16T19:48:01.712987
bolgelerkadikoyhasanpasa-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-bavul-temizleme.html,Hasanpaşa,Kadıköy,Bavul Temizleme,46,134,success,2025-08-16T19:48:01.714057
bolgelerkadikoyhasanpasa-hali-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-hali-yikama.html,Hasanpaşa,Kadıköy,Halı Yıkama,42,130,success,2025-08-16T19:48:01.715252
bolgelerkadikoyhasanpasa-koltuk-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-koltuk-yikama.html,Hasanpaşa,Kadıköy,Koltuk Yıkama,44,132,success,2025-08-16T19:48:01.716531
bolgelerkadikoyhasanpasa-perde-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-perde-temizleme.html,Hasanpaşa,Kadıköy,Perde Temizleme,46,134,success,2025-08-16T19:48:01.717545
bolgelerkadikoyhasanpasa-ev-tekstili-temizligi.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-ev-tekstili-temizligi.html,Hasanpaşa,Kadıköy,Ev Tekstili Temizliği,52,140,success,2025-08-16T19:48:01.718716
bolgelerkadikoyhasanpasa-canta-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-canta-temizleme.html,Hasanpaşa,Kadıköy,Çanta Temizleme,46,134,success,2025-08-16T19:48:01.719622
bolgelerkadikoyhasanpasa-kumas-deri-boyama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-kumas-deri-boyama.html,Hasanpaşa,Kadıköy,Kumaş Deri Boyama,48,136,success,2025-08-16T19:48:01.720500
bolgelerkadikoyhasanpasa-lostra-hizmeti.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-lostra-hizmeti.html,Hasanpaşa,Kadıköy,Lostra Hizmeti,45,133,success,2025-08-16T19:48:01.721698
bolgelerkadikoyhasanpasa-utu-hizmetleri.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/hasanpasa-utu-hizmetleri.html,Hasanpaşa,Kadıköy,Ütü Hizmetleri,45,133,success,2025-08-16T19:48:01.722721
bolgelerkadikoyrasimpasa-kuru-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-kuru-temizleme.html,Rasimpaşa,Kadıköy,Kuru Temizleme,45,133,success,2025-08-16T19:48:01.723683
bolgelerkadikoyrasimpasa-gelinlik-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-gelinlik-temizleme.html,Rasimpaşa,Kadıköy,Gelinlik Temizleme,49,137,success,2025-08-16T19:48:01.724567
bolgelerkadikoyrasimpasa-abiye-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-abiye-temizleme.html,Rasimpaşa,Kadıköy,Abiye Temizleme,46,134,success,2025-08-16T19:48:01.725461
bolgelerkadikoyrasimpasa-valiz-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-valiz-temizleme.html,Rasimpaşa,Kadıköy,Valiz Temizleme,46,134,success,2025-08-16T19:48:01.726450
bolgelerkadikoyrasimpasa-bavul-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-bavul-temizleme.html,Rasimpaşa,Kadıköy,Bavul Temizleme,46,134,success,2025-08-16T19:48:01.727275
bolgelerkadikoyrasimpasa-hali-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-hali-yikama.html,Rasimpaşa,Kadıköy,Halı Yıkama,42,130,success,2025-08-16T19:48:01.728207
bolgelerkadikoyrasimpasa-koltuk-yikama.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-koltuk-yikama.html,Rasimpaşa,Kadıköy,Koltuk Yıkama,44,132,success,2025-08-16T19:48:01.729245
bolgelerkadikoyrasimpasa-perde-temizleme.html,https://dryallekurutemizleme.com/bolgeler/kadikoy/rasimpasa-perde-temizleme.html,Rasimpaşa,Kadıköy,Perde Temizleme,46,134,success,2025-08-16T19:48:01.730122
